Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Taiwan,2010,23110964,0.17,0.08,716.4,7.2,1.0,21861.0
Tajikistan,2010,7477049,2.43,2.52,52.8,31.5,-0.9,-6498.0
Tanzania,2010,44153740,3.01,3.0,49.8,38.8,0.1,5302.0
Thailand,2010,66271488,0.61,0.5,129.7,12.2,1.1,70273.0
Timor-Leste,2010,1078728,2.22,2.71,72.5,35.8,-4.9,-5234.0
Togo,2010,6178252,2.76,3.03,113.6,37.6,-2.7,-16431.0
Tonga,2010,105623,0.3,2.09,147.3,25.8,-18.0,-1900.0
Trinidad and Tobago,2010,1321279,0.53,0.69,257.7,14.6,-1.5,-1996.0
Tunisia,2010,10525963,1.15,1.35,67.8,19.9,-2.0,-21447.0
Turkey,2010,74647083,1.07,1.24,97.0,18.2,-1.7,-128050.0
Turkmenistan,2010,4940152,1.13,1.33,10.5,19.5,-2.0,-9620.0
Turks and Caicos Islands,2010,43214,3.87,1.56,45.6,18.0,23.1,1000.0
Tuvalu,2010,10479,0.67,1.37,403.0,23.0,-7.1,0.0
Uganda,2010,31002201,2.8,3.65,157.3,45.2,-8.5,-262630.0
Ukraine,2010,45768171,-0.4,-0.44,79.0,10.9,0.4,16133.0
United Arab Emirates,2010,8020877,3.36,0.87,95.9,9.9,24.9,199528.0
United Kingdom,2010,62502490,0.81,0.41,258.3,12.9,4.0,251644.0
United States,2010,309327143,0.0,0.0,33.8,0.0,0.0,0.0
Uruguay,2010,3342522,0.45,0.43,19.1,14.2,0.2,0.0
Uzbekistan,2010,28677730,1.59,1.73,67.4,22.1,-1.4,-39756.0
Vanuatu,2010,245053,2.23,2.39,20.1,28.4,-1.6,0.0
Venezuela,2010,28663205,1.46,1.6,32.5,21.1,-1.4,-38586.0
Vietnam,2010,90458607,1.23,1.26,291.7,18.1,-0.4,-32728.0
"Virgin Islands, British",2010,29629,2.51,0.58,196.2,10.5,19.3,0.0
"Virgin Islands, U.S.",2010,108357,-0.07,0.82,311.4,14.8,-8.8,0.0
Wallis and Futuna,2010,15331,0.32,0.91,108.0,14.1,-5.9,0.0
West Bank,2010,2408929,2.03,2.54,427.1,29.1,-5.1,-12271.0
Yemen,2010,24014212,2.7,2.97,45.5,36.6,-2.8,-66613.0
Zambia,2010,13646916,3.14,3.2,18.4,40.7,-0.6,-8700.0
Zimbabwe,2010,13222536,0.44,2.47,34.2,36.5,-20.3,-267950.0
Afghanistan,2011,34363270,3.1,3.17,52.7,39.6,-0.7,-25106.0
Albania,2011,2823845,-0.79,0.51,103.1,12.1,-12.9,-36438.0
Algeria,2011,36659361,1.97,2.06,15.4,24.8,-0.9,-31917.0
American Samoa,2011,55055,-0.92,1.82,278.1,23.4,-27.5,-1511.0
Andorra,2011,84888,0.36,0.36,181.4,9.7,0.0,0.0
Angola,2011,23294607,4.34,3.46,18.7,45.1,8.8,204982.0
Anguilla,2011,15073,2.16,0.84,165.6,12.8,13.3,0.0
Antigua and Barbuda,2011,87764,1.26,1.03,198.1,16.3,2.3,0.0
Argentina,2011,41800777,1.05,1.05,15.3,18.1,0.0,0.0
Armenia,2011,3069561,-0.08,0.52,108.8,14.4,-6.0,-18483.0
Aruba,2011,106062,1.44,0.5,589.2,12.8,9.4,1000.0
Australia,2011,22183001,1.63,0.7,2.9,13.6,9.3,205710.0
Austria,2011,8475092,0.37,0.01,102.8,9.2,3.6,30705.0
Azerbaijan,2011,9470313,1.54,1.52,114.6,21.5,0.2,1697.0
"Bahamas, The",2011,355259,1.67,0.87,35.5,14.0,8.0,2839.0
Bahrain,2011,1214703,2.81,1.2,0.0,14.6,16.1,19555.0
Bangladesh,2011,148179747,1.09,1.5,0.0,20.3,-4.1,-605175.0
Barbados,2011,290926,0.45,0.48,676.6,12.3,-0.3,0.0
Belarus,2011,9662547,-0.17,-0.27,47.6,11.3,1.0,9900.0
Belgium,2011,10962547,0.92,0.21,362.1,11.6,7.0,77223.0
Belize,2011,330560,2.13,1.76,14.5,22.1,3.7,1216.0
Benin,2011,9485681,3.31,3.27,85.7,42.7,0.5,4256.0
Bermuda,2011,68757,0.59,0.38,0.0,11.4,2.1,0.0
Bhutan,2011,768958,1.23,1.23,20.0,19.2,0.0,0.0
Bolivia,2011,10211406,1.83,1.94,9.4,25.6,-1.1,-11540.0
Bosnia and Herzegovina,2011,3878884,-0.21,-0.08,75.8,8.2,-1.3,-5000.0
Botswana,2011,2011047,1.66,1.35,3.5,24.7,3.1,6246.0
Brazil,2011,199602770,0.88,0.88,23.9,14.7,0.1,9578.0
Brunei,2011,401603,1.71,1.45,76.3,17.8,2.6,1044.0
Bulgaria,2011,7350505,-0.56,-0.51,67.8,9.7,-0.5,-3970.0
Burkina Faso,2011,16099086,2.94,3.21,58.8,42.7,-2.7,-43196.0
Burma,2011,51941910,1.11,1.28,79.5,20.9,-1.7,-89786.0
Burundi,2011,9439776,3.03,3.29,367.6,41.2,-2.7,-25000.0
Cabo Verde,2011,515773,1.43,1.5,127.9,21.4,-0.7,0.0
Cambodia,2011,14488675,1.11,1.99,82.1,26.2,-8.7,-126457.0
Cameroon,2011,21481851,2.72,2.78,45.4,38.4,-0.6,-12602.0
Canada,2011,34591851,1.08,0.36,3.8,10.7,7.2,248360.0
Cayman Islands,2011,51296,2.3,0.72,194.3,12.3,15.8,0.0
Central African Republic,2011,4779344,2.14,2.17,7.7,36.7,-0.4,-1834.0
Chad,2011,12438622,3.74,3.52,9.9,48.0,2.2,27020.0
Chile,2011,16857170,0.89,0.89,22.7,14.5,0.0,0.0
China,2011,1347688290,0.64,0.66,144.5,13.4,-0.2,-219000.0
Colombia,2011,44100903,0.64,1.17,42.5,17.0,-5.3,-232656.0
Comoros,2011,726117,2.18,2.45,324.9,32.6,-2.7,-1975.0
Congo (Brazzaville),2011,4429094,3.36,3.0,13.0,35.7,3.6,16000.0
Congo (Kinshasa),2011,75337546,3.55,3.59,33.2,46.9,-0.4,-29000.0
Cook Islands,2011,11094,-3.21,0.78,47.0,15.0,-39.8,0.0
Costa Rica,2011,4585733,1.43,1.17,89.8,16.0,2.6,11932.0
Croatia,2011,4403676,-0.32,-0.22,78.7,9.4,-1.0,-4165.0
Cuba,2011,11256134,0.05,0.41,102.5,11.8,-3.6,-39975.0
Curaçao,2011,144696,0.84,0.57,325.9,13.6,2.8,0.0
Cyprus,2011,1120567,1.62,0.5,121.3,11.4,11.2,12560.0
Czechia,2011,10573222,0.18,0.02,136.9,10.3,1.6,16889.0
Côte d’Ivoire,2011,21964859,2.34,2.81,69.1,38.2,-4.7,-102604.0
Denmark,2011,5570463,0.37,0.12,131.3,10.6,2.6,14340.0
Djibouti,2011,755961,2.24,1.7,32.6,25.2,5.3,4020.0
Dominica,2011,73371,0.21,0.75,97.7,15.4,-5.4,0.0
Dominican Republic,2011,9576493,1.21,1.43,198.2,20.7,-2.2,-20871.0
Ecuador,2011,15205119,1.46,1.75,61.2,22.2,-2.9,-44085.0
Egypt,2011,83638527,2.54,2.58,84.0,30.8,-0.4,-35300.0
El Salvador,2011,6041050,0.51,1.44,291.5,20.3,-9.3,-56151.0
Equatorial Guinea,2011,1037891,5.11,2.78,37.0,37.6,23.3,24164.0
Eritrea,2011,5486164,1.95,2.6,54.3,33.9,-6.4,-35312.0
Estonia,2011,1297236,-0.45,-0.04,30.6,11.3,-4.1,-5326.0
Eswatini,2011,1023891,0.61,1.61,59.5,30.2,-10.1,-10300.0
Ethiopia,2011,84413527,2.89,2.75,77.0,35.5,1.3,110946.0
Faroe Islands,2011,49261,0.43,0.43,35.4,13.0,0.0,0.0
Fiji,2011,882747,0.79,1.51,48.3,21.0,-7.2,-6395.0
Finland,2011,5379679,0.49,0.17,17.7,11.2,3.1,16821.0
France,2011,65313096,0.48,0.44,102.0,12.7,0.4,27077.0
French Polynesia,2011,271653,1.04,1.14,71.0,16.1,-1.0,0.0
Gabon,2011,1684612,3.17,2.1,6.5,29.2,10.7,17940.0
"Gambia, The",2011,1803765,3.01,3.02,178.2,37.4,-0.1,0.0
Gaza Strip,2011,1560230,3.22,3.35,0.0,37.0,-1.3,-2000.0
Georgia,2011,4938340,0.67,0.26,70.9,13.4,4.1,20200.0
Germany,2011,81759269,0.06,-0.24,234.5,8.1,2.9,240378.0
Ghana,2011,25269204,2.67,2.55,111.1,34.0,1.2,31302.0
Gibraltar,2011,28840,0.26,0.59,0.0,13.6,-3.3,0.0
Greece,2011,11017574,-0.44,-0.04,84.3,9.7,-4.0,-43972.0
Greenland,2011,57626,0.04,0.61,0.0,14.6,-5.7,0.0
Grenada,2011,108483,0.57,0.92,315.4,17.0,-3.6,0.0
Guam,2011,163950,0.35,1.48,301.4,20.1,-11.3,-1853.0
Guatemala,2011,14518609,2.09,2.3,135.5,28.4,-2.1,-29836.0
Guernsey,2011,65116,0.47,0.2,834.8,10.1,2.7,0.0
Guinea,2011,9824572,2.64,2.61,40.0,36.8,0.3,2496.0
Guinea-Bissau,2011,1551423,2.3,2.77,55.2,38.6,-4.7,-7310.0
Guyana,2011,786354,-0.08,1.08,4.0,17.1,-11.6,-9119.0
Haiti,2011,9696602,1.25,1.84,351.8,27.0,-5.9,-57186.0
Honduras,2011,8141710,1.84,1.99,72.8,24.7,-1.5,-12204.0
Hong Kong,2011,7030206,0.1,0.36,0.0,10.1,-2.6,-18330.0
Hungary,2011,9972181,-0.28,-0.43,111.3,8.6,1.5,14638.0
Iceland,2011,318851,0.35,0.79,3.2,14.1,-4.4,-1404.0
India,2011,1236352295,1.26,1.29,415.8,20.1,-0.3,-391233.0
Indonesia,2011,249274297,1.2,1.32,137.6,19.9,-1.2,-295365.0
Iran,2011,75847197,0.94,1.21,49.5,17.5,-2.7,-207126.0
Iraq,2011,30094641,3.68,2.81,68.8,32.9,8.7,262382.0
Ireland,2011,4630972,0.43,0.98,67.2,16.0,-5.6,-25757.0
Isle of Man,2011,84597,0.89,0.12,147.9,11.4,7.7,0.0
Israel,2011,7520566,1.84,1.63,349.8,21.5,2.1,15834.0
Italy,2011,61092001,0.42,-0.08,207.7,9.0,5.0,303332.0
Jamaica,2011,2832881,-0.22,1.06,261.6,18.0,-12.7,-36078.0
Japan,2011,127491357,-0.19,-0.12,349.8,8.6,-0.6,-78984.0
Jersey,2011,94074,0.8,0.3,811.0,10.9,5.0,0.0
Jordan,2011,6962850,2.35,2.35,78.4,27.2,0.0,0.0
Kazakhstan,2011,17329165,1.38,1.36,6.4,21.9,0.3,5096.0
Kenya,2011,40688367,3.02,2.8,71.5,34.8,2.2,90327.0
Kiribati,2011,100912,1.23,1.52,124.4,22.6,-2.9,0.0
"Korea, North",2011,24515604,0.57,0.57,203.6,14.5,0.0,-1000.0
"Korea, South",2011,50052970,0.61,0.43,516.4,9.4,1.8,90903.0
Kosovo,2011,1825340,0.59,1.12,167.7,18.3,-5.3,-9756.0
Kuwait,2011,2595865,1.99,1.93,145.7,21.3,0.6,1663.0
Kyrgyzstan,2011,5450689,0.79,1.7,28.4,24.0,-9.1,-49535.0
Laos,2011,6509965,1.76,1.96,28.2,26.8,-2.0,-12735.0
Latvia,2011,2076493,-1.44,-0.47,33.4,9.1,-9.7,-20077.0
Lebanon,2011,4969535,0.84,1.5,485.8,19.3,-6.6,-32626.0
Lesotho,2011,2011400,0.87,1.29,66.3,28.7,-4.2,-8415.0
Liberia,2011,3926131,5.4,2.89,40.8,38.5,25.1,98386.0
Libya,2011,6082221,-12.05,2.13,3.5,28.6,-141.9,-862832.0
Liechtenstein,2011,36422,0.79,0.43,227.6,10.9,3.7,0.0
Lithuania,2011,3015010,-1.72,-0.36,48.1,10.0,-13.7,-41199.0
Luxembourg,2011,520556,2.46,0.35,201.3,10.8,21.1,11004.0
Macau,2011,574719,0.98,0.63,0.0,9.8,3.5,2000.0
Madagascar,2011,21383273,2.71,2.71,36.8,34.4,0.0,0.0
Malawi,2011,15490125,3.07,3.17,164.6,38.3,-1.0,-16166.0
Malaysia,2011,29558924,1.44,1.27,89.9,17.3,1.7,50000.0
Maldives,2011,394953,-0.16,1.1,0.0,14.6,-12.6,-4985.0
Mali,2011,14993806,3.38,3.51,12.3,46.7,-1.3,-19171.0
Malta,2011,418933,0.61,0.21,0.0,9.9,4.0,1659.0
Marshall Islands,2011,67075,1.94,2.46,370.6,29.0,-5.2,0.0
Mauritania,2011,3358103,2.6,3.2,3.3,38.9,-6.0,-20081.0
Mauritius,2011,1285619,0.19,0.42,633.3,11.4,-2.4,-3068.0
Mexico,2011,115945440,1.48,1.51,59.6,20.1,-0.3,-36076.0
"Micronesia, Federated States of",2011,106741,-0.32,1.78,152.1,22.2,-21.0,-2242.0
Moldova,2011,3914098,-0.17,-0.14,119.0,10.9,-0.3,-1216.0
Monaco,2011,30547,-0.11,-0.12,0.0,7.0,0.1,0.0
Mongolia,2011,2829989,1.75,1.87,1.8,25.2,-1.2,-3300.0
Montenegro,2011,622433,-0.05,0.22,46.3,11.6,-2.7,-1697.0
Montserrat,2011,5140,0.45,0.45,50.4,11.7,0.0,0.0
Morocco,2011,32661194,1.2,1.44,45.6,21.1,-2.3,-75392.0
Mozambique,2011,23654009,2.86,3.06,30.1,45.3,-2.0,-47000.0
Namibia,2011,2213938,1.42,2.12,2.7,30.3,-7.0,-15466.0
Nauru,2011,9290,0.57,2.13,442.4,27.7,-15.6,0.0
Nepal,2011,27079235,1.59,1.72,188.9,23.1,-1.2,-33657.0
Netherlands,2011,16651538,0.45,0.27,491.3,10.8,1.8,29768.0
New Caledonia,2011,256293,1.53,1.1,14.0,16.3,4.3,1088.0
New Zealand,2011,4306933,0.68,0.73,16.3,14.3,-0.4,-1856.0
Nicaragua,2011,5736404,1.44,1.64,47.8,21.1,-2.1,-11877.0
Niger,2011,16204920,3.71,3.81,12.8,51.2,-1.0,-16154.0
Nigeria,2011,170376418,2.66,2.69,187.1,38.8,-0.3,-53683.0
North Macedonia,2011,2084928,0.2,0.16,82.0,10.9,0.4,0.0
Northern Mariana Islands,2011,53535,-0.28,1.25,113.4,16.6,-15.3,0.0
Norway,2011,4955374,1.33,0.38,16.3,12.2,9.5,47032.0
Oman,2011,3022429,2.01,2.06,9.8,24.0,-0.5,-1510.0
Pakistan,2011,192744405,2.19,2.46,250.0,32.0,-2.8,-529468.0
Palau,2011,20904,0.3,0.24,45.5,10.2,0.6,0.0
Panama,2011,3535640,1.64,1.57,47.6,20.7,0.7,2510.0
Papua New Guinea,2011,7252293,2.63,2.63,16.0,32.6,0.0,0.0
Paraguay,2011,6455204,1.28,1.29,16.2,17.5,-0.1,0.0
Peru,2011,29512778,0.55,1.64,23.1,21.5,-10.9,-321218.0
Philippines,2011,95333272,1.61,1.96,319.7,25.1,-3.5,-335858.0
Poland,2011,38631804,0.01,0.02,127.0,10.1,-0.1,-4334.0
Portugal,2011,10634486,-0.29,-0.06,116.3,9.1,-2.3,-24331.0
Puerto Rico,2011,3679461,-1.17,0.3,414.9,11.2,-14.8,-54324.0
Qatar,2011,1849788,5.87,0.9,159.7,10.5,49.7,91989.0
Romania,2011,20389656,-0.72,-0.27,88.7,9.6,-4.5,-91727.0
Russia,2011,143533961,0.06,-0.17,8.8,12.2,2.2,319762.0
Rwanda,2011,10200568,2.84,2.86,413.5,36.0,-0.2,-1480.0
Saint Barthelemy,2011,7366,-0.49,0.38,294.6,10.2,-8.7,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2011,7715,0.4,0.4,19.6,10.8,0.0,0.0
Saint Kitts and Nevis,2011,50300,0.82,0.69,192.7,14.1,1.3,0.0
Saint Lucia,2011,161219,0.37,0.74,266.0,14.6,-3.7,0.0
Saint Martin,2011,30599,1.18,1.26,566.6,16.6,-0.8,0.0
Saint Pierre and Miquelon,2011,5921,-0.93,-0.02,24.5,8.3,-9.1,0.0
Saint Vincent and the Grenadines,2011,103747,-0.33,0.76,266.7,14.6,-10.9,-1132.0
Samoa,2011,193161,0.6,1.72,68.5,22.5,-11.2,-2156.0
San Marino,2011,31804,1.04,0.11,521.4,9.1,9.3,0.0
Sao Tome and Principe,2011,179397,2.04,2.97,186.1,38.0,-9.3,-1674.0
Saudi Arabia,2011,28789008,2.51,1.66,13.4,19.6,8.5,245356.0
Senegal,2011,13063965,3.1,3.24,67.9,39.0,-1.5,-18891.0
Serbia,2011,7195769,-0.53,-0.52,92.9,9.1,-0.1,-1000.0
Seychelles,2011,88879,0.93,0.82,195.3,15.4,1.0,0.0
Sierra Leone,2011,6318517,3.16,2.57,88.2,39.8,5.9,37457.0
Singapore,2011,5252194,1.22,0.74,0.0,10.8,4.8,25000.0
Sint Maarten,2011,38520,1.62,0.94,0.0,13.0,6.8,0.0
Slovakia,2011,5433273,0.16,0.16,112.9,11.2,-0.1,0.0
Slovenia,2011,2088442,0.25,0.16,103.6,10.5,1.0,2059.0
Solomon Islands,2011,567889,2.19,2.38,20.3,28.0,-1.9,-1087.0
Somalia,2011,12531295,-0.75,1.88,20.0,52.2,-26.3,-329446.0
South Africa,2011,52373434,1.18,1.26,43.1,21.4,-0.9,-45147.0
South Sudan,2011,10308739,4.82,2.94,16.0,41.5,18.9,194349.0
Spain,2011,46466588,0.1,0.18,93.1,10.2,-0.8,-37699.0
Sri Lanka,2011,20724619,0.18,1.08,320.7,17.6,-9.1,-187723.0
Sudan,2011,35683115,1.94,2.94,19.2,37.6,-10.0,-357509.0
Suriname,2011,545352,1.65,1.15,3.5,17.8,5.1,2758.0
Sweden,2011,9503419,0.71,0.23,23.2,11.8,4.8,45288.0
Switzerland,2011,8027848,0.58,0.23,200.7,10.1,3.4,27583.0
Syria,2011,22633830,1.33,2.47,121.8,28.6,-11.4,-256814.0
Taiwan,2011,23161597,0.27,0.18,718.0,8.5,0.8,19078.0
Tajikistan,2011,7667389,2.59,2.65,54.2,32.7,-0.6,-4296.0
Tanzania,2011,45431991,2.7,3.01,51.3,38.6,-3.1,-140460.0
Thailand,2011,66668257,0.59,0.48,130.5,12.0,1.1,74293.0
Timor-Leste,2011,1102641,2.16,2.64,74.1,34.9,-4.8,-5234.0
Togo,2011,6351967,2.78,3.02,116.8,37.3,-2.4,-15001.0
Tonga,2011,105907,0.24,2.04,147.7,25.2,-17.9,-1900.0
Trinidad and Tobago,2011,1327925,0.47,0.62,259.0,14.0,-1.5,-1996.0
Tunisia,2011,10647377,1.15,1.35,68.5,19.9,-2.0,-21447.0
Turkey,2011,75438570,1.04,1.2,98.0,17.8,-1.6,-118627.0
Turkmenistan,2011,4996408,1.13,1.32,10.6,19.4,-1.9,-9620.0
Turks and Caicos Islands,2011,44842,3.53,1.53,47.3,17.7,20.1,0.0
Tuvalu,2011,10552,0.7,1.4,405.8,23.2,-7.0,0.0
Uganda,2011,31878849,2.78,3.62,161.7,44.3,-8.4,-268055.0
Ukraine,2011,45603516,-0.32,-0.36,78.7,11.0,0.4,17096.0
United Arab Emirates,2011,8302211,3.53,0.89,99.3,10.1,26.4,219123.0
United Kingdom,2011,62994194,0.76,0.42,260.4,12.8,3.4,215341.0
United States,2011,311583481,0.73,0.46,34.0,12.7,2.7,830305.0
Uruguay,2011,3357303,0.44,0.42,19.2,13.9,0.2,0.0
Uzbekistan,2011,29122051,1.48,1.65,68.5,21.4,-1.6,-47584.0
Vanuatu,2011,250504,2.17,2.33,20.6,27.7,-1.6,0.0
Venezuela,2011,29080672,1.43,1.57,33.0,20.9,-1.4,-39616.0
Vietnam,2011,91568196,1.21,1.25,295.3,17.9,-0.4,-31908.0
"Virgin Islands, British",2011,30376,2.47,0.59,201.2,10.6,18.8,0.0
"Virgin Islands, U.S.",2011,108290,-0.06,0.72,311.2,13.8,-7.8,0.0
Wallis and Futuna,2011,15380,0.32,0.89,108.3,14.0,-5.7,0.0
West Bank,2011,2458151,2.02,2.52,435.8,28.9,-5.0,-12271.0
Yemen,2011,24683183,2.8,2.92,46.8,36.0,-1.2,-30156.0
Zambia,2011,14082110,3.14,3.15,18.9,39.9,-0.1,-1690.0
Zimbabwe,2011,13268320,0.25,2.54,34.3,36.3,-22.8,-303080.0
Afghanistan,2012,35435822,3.05,3.11,54.3,38.7,-0.6,-19900.0
Albania,2012,2803284,-0.68,0.52,102.3,12.6,-11.9,-33380.0
Algeria,2012,37412252,2.1,2.19,15.7,26.1,-0.9,-34694.0
American Samoa,2012,54476,-1.2,1.64,275.1,21.6,-28.4,-1545.0
Andorra,2012,85164,0.29,0.29,182.0,9.3,0.0,0.0
Angola,2012,24343260,4.46,3.49,19.5,44.9,9.7,235832.0
Anguilla,2012,15400,2.13,0.83,169.2,12.7,13.0,0.0
Antigua and Barbuda,2012,88872,1.25,1.02,200.6,16.2,2.3,0.0
Argentina,2012,42232039,1.0,0.99,15.4,17.5,0.1,4000.0
Armenia,2012,3067011,-0.09,0.51,108.7,14.4,-6.0,-18483.0
Aruba,2012,107587,1.42,0.49,597.7,12.8,9.3,1000.0
Australia,2012,22563165,1.77,0.72,2.9,13.7,10.5,237450.0
Austria,2012,8512510,0.51,-0.01,103.3,9.3,5.2,43797.0
Azerbaijan,2012,9614435,1.49,1.47,116.4,21.0,0.2,1946.0
"Bahamas, The",2012,360865,1.46,0.78,36.1,13.1,6.8,2456.0
Bahrain,2012,1248334,2.65,1.18,0.0,14.4,14.7,18395.0
Bangladesh,2012,149790601,1.07,1.47,0.0,20.0,-4.0,-604140.0
Barbados,2012,292221,0.44,0.47,679.6,12.2,-0.3,0.0
Belarus,2012,9653837,-0.01,-0.11,47.6,12.0,1.0,9328.0
Belgium,2012,11058153,0.82,0.16,365.2,11.5,6.6,72667.0
Belize,2012,337544,2.06,1.72,14.8,21.7,3.4,1145.0
Benin,2012,9804697,3.31,3.29,88.6,42.9,0.1,1247.0
Bermuda,2012,69154,0.56,0.36,0.0,11.4,2.0,0.0
Bhutan,2012,778358,1.2,1.2,20.3,18.8,0.0,0.0
Bolivia,2012,10397215,1.78,1.89,9.6,25.0,-1.1,-11540.0
Bosnia and Herzegovina,2012,3870640,-0.21,-0.08,75.6,8.4,-1.3,-5000.0
Botswana,2012,2044538,1.64,1.34,3.6,24.3,3.1,6246.0
Brazil,2012,201350896,0.86,0.86,24.1,14.5,0.1,12378.0
Brunei,2012,408471,1.69,1.43,77.6,17.7,2.6,1044.0
Bulgaria,2012,7308614,-0.58,-0.55,67.4,9.5,-0.3,-2512.0
Burkina Faso,2012,16599642,3.18,3.17,60.6,42.1,0.1,1062.0
Burma,2012,52509160,1.07,1.24,80.3,20.3,-1.7,-91270.0
Burundi,2012,9748109,3.4,3.23,379.6,40.2,1.7,16600.0
Cabo Verde,2012,523159,1.41,1.48,129.7,21.1,-0.7,0.0
Cambodia,2012,14648510,1.08,1.95,83.0,25.7,-8.6,-126457.0
Cameroon,2012,22073688,2.72,2.75,46.7,37.9,-0.4,-7889.0
Canada,2012,34985093,1.18,0.39,3.8,10.9,7.9,277045.0
Cayman Islands,2012,52475,2.25,0.71,198.8,12.2,15.4,0.0
Central African Republic,2012,4881023,2.08,2.17,7.8,36.4,-0.9,-4380.0
Chad,2012,12899944,3.55,3.49,10.2,47.4,0.6,7220.0
Chile,2012,17006786,0.87,0.87,22.9,14.3,0.0,0.0
China,2012,1356727626,0.69,0.71,145.5,13.9,-0.2,-216000.0
Colombia,2012,44381863,0.63,1.14,42.7,16.7,-5.1,-227585.0
Comoros,2012,741756,2.08,2.35,331.9,31.3,-2.7,-1975.0
Congo (Brazzaville),2012,4548126,1.97,2.89,13.3,34.5,-9.3,-42100.0
Congo (Kinshasa),2012,77998458,3.39,3.52,34.4,45.9,-1.3,-100400.0
Cook Islands,2012,10746,-3.16,0.73,45.5,14.7,-38.9,0.0
Costa Rica,2012,4651136,1.4,1.15,91.1,15.8,2.5,11793.0
Croatia,2012,4389754,-0.32,-0.23,78.4,9.5,-0.9,-3918.0
Cuba,2012,11253978,-0.09,0.32,102.5,11.2,-4.2,-46662.0
Curaçao,2012,145841,0.74,0.57,328.5,13.6,1.7,0.0
Cyprus,2012,1138183,1.57,0.5,123.2,11.4,10.8,12239.0
Czechia,2012,10587913,0.1,0.0,137.1,10.3,1.0,10293.0
Côte d’Ivoire,2012,22560147,3.0,2.79,70.9,37.7,2.1,46322.0
Denmark,2012,5592472,0.42,0.1,131.8,10.4,3.2,17605.0
Djibouti,2012,773220,2.28,1.68,33.4,24.8,6.0,4644.0
Dominica,2012,73523,0.2,0.74,97.9,15.4,-5.4,0.0
Dominican Republic,2012,9691122,1.17,1.4,200.6,20.4,-2.2,-21743.0
Ecuador,2012,15431709,1.5,1.69,62.1,21.5,-1.9,-29254.0
Egypt,2012,85806339,2.58,2.61,86.2,31.0,-0.3,-28651.0
El Salvador,2012,6095746,1.29,1.42,294.2,20.1,-1.3,-7882.0
Equatorial Guinea,2012,1091653,4.99,2.7,38.9,36.7,22.9,25025.0
Eritrea,2012,5587486,1.71,2.54,55.3,33.2,-8.3,-46324.0
Estonia,2012,1291752,-0.39,-0.11,30.5,10.9,-2.9,-3682.0
Eswatini,2012,1031550,0.89,1.61,60.0,29.5,-7.2,-7454.0
Ethiopia,2012,86859533,2.83,2.76,79.2,35.2,0.7,62118.0
Faroe Islands,2012,49476,0.44,0.44,35.5,13.1,0.0,0.0
Fiji,2012,889592,0.76,1.47,48.7,20.6,-7.1,-6329.0
Finland,2012,5405387,0.47,0.14,17.8,11.0,3.2,17433.0
France,2012,65634194,0.5,0.39,102.5,12.6,1.1,70365.0
French Polynesia,2012,274454,1.01,1.11,71.7,15.8,-0.9,0.0
Gabon,2012,1743383,3.68,2.05,6.8,28.2,16.4,28506.0
"Gambia, The",2012,1858289,2.94,2.95,183.6,36.6,-0.1,0.0
Gaza Strip,2012,1610287,3.1,3.22,0.0,35.7,-1.2,-2000.0
Georgia,2012,4950269,-0.18,0.25,71.0,13.2,-4.3,-21500.0
Germany,2012,81862920,0.2,-0.23,234.8,8.2,4.3,352174.0
Ghana,2012,25944002,2.6,2.56,114.0,33.9,0.4,10068.0
Gibraltar,2012,28916,0.26,0.6,0.0,13.7,-3.3,0.0
Greece,2012,10948200,-0.82,-0.15,83.8,9.2,-6.7,-73809.0
Greenland,2012,57648,0.04,0.61,0.0,14.6,-5.7,0.0
Grenada,2012,109088,0.55,0.89,317.1,16.7,-3.5,0.0
Guam,2012,164643,0.49,1.62,302.7,21.8,-11.3,-1853.0
Guatemala,2012,14823189,2.06,2.26,138.3,28.0,-2.0,-29884.0
Guernsey,2012,65413,0.44,0.18,838.6,10.0,2.6,0.0
Guinea,2012,10083975,2.58,2.64,41.0,36.8,-0.6,-6238.0
Guinea-Bissau,2012,1587214,2.26,2.73,56.4,37.7,-4.7,-7406.0
Guyana,2012,786193,0.04,1.04,4.0,16.8,-10.0,-7854.0
Haiti,2012,9831579,1.51,1.81,356.7,26.5,-3.0,-29490.0
Honduras,2012,8291180,1.8,1.94,74.1,24.1,-1.4,-11452.0
Hong Kong,2012,7050104,0.47,0.3,0.0,9.6,1.7,12001.0
Hungary,2012,9944323,-0.28,-0.41,111.0,9.2,1.3,12972.0
Iceland,2012,320531,0.71,0.8,3.2,14.1,-1.0,0.0
India,2012,1251839015,1.23,1.26,421.0,19.8,-0.3,-356738.0
Indonesia,2012,252247464,1.17,1.29,139.2,19.6,-1.2,-293082.0
Iran,2012,76681210,1.25,1.29,50.1,18.2,-0.5,-34164.0
Iraq,2012,31447457,5.08,2.71,71.9,31.8,23.7,746698.0
Ireland,2012,4651890,0.47,0.91,67.5,15.4,-4.4,-20473.0
Isle of Man,2012,85339,0.86,0.12,149.2,11.4,7.4,0.0
Israel,2012,7660949,1.86,1.64,356.4,21.6,2.1,16376.0
Italy,2012,61303175,0.27,-0.13,208.4,8.7,4.0,244556.0
